publishyear,publisher,quote,bookname,author,translator,num,stars,price
1994-11,人民文学出版社,许多隐晦,格林童话全集,格林兄弟,魏以新,224,8.9,21.45元
2003-7,上海社会科学院出版社,日常的奇迹,麦琪的礼物,[美] 欧·亨利,张经浩,225,8.6,25.00元
2003-7-1,上海书店出版社,哀其不幸，怒其不争,阿Q正传,鲁迅,,226,8.6,14.50
2005-1,作家出版社,暴食与减肥的桥段印象深刻,水仙已乘鲤鱼去,张悦然,,227,7.8,19.00元
2014-12-1,天津人民出版社,皮囊之下，骨肉相连,皮囊,蔡崇达,,228,7.8,39.80元
2007-11,中国友谊出版公司,逼近死亡的云顶天宫之旅,盗墓笔记3,南派三叔,,229,8.4,26.80元
2008-3,中国友谊出版公司,内忧外患之际，你方唱罢我登场,明朝那些事儿（伍）,当年明月,,230,8.8,28.80
1997-5,生活·读书·新知三联书店,窥见美国社会的一扇窗,历史深处的忧虑,林达,,231,9.0,19.00元
1998-3-1,人民文学出版社,一个傻子的土司家族传奇,尘埃落定,阿来,,232,8.4,22.0
2010-1,译林出版社,疏离而断裂，生活的冷与干涩,当我们谈论爱情时我们在谈论什么,[美] 雷蒙德·卡佛,小二,233,7.8,22.00元
2010-1,长江文艺出版社,淳朴自贡少年十里洋场欲海翻波为哪般,小时代2.0虚铜时代,郭敬明,,234,6.5,26.80元
2009-07-01,陕西师范大学出版社,永远生猛下去,黄金时代,王小波,,235,8.8,23.00元
2000-3-1,人民文学出版社,如骆驼喘息般深刻的绝望,骆驼祥子,老舍,,236,8.2,12.00
2007-11,浙江人民美术出版社,热血，梦想，希望,海贼王,尾田荣一郎,董科,237,9.5,7.5
2014-9-1,湖南文艺出版社,他人的生活总是比你的精彩,乖，摸摸头,大冰,,238,7.5,36.00元
2010-7-1,长江文艺出版社,自毁而偏执的东霓,东霓,笛安,,239,8.1,26.80元
